6 6 7 11	1	(11+6)*(6+7)			
6 7 7 10	1	(10+7)*(6+7)			
6 7 8 9	1	(6+7)*(8+9)			
6 7 12 13	1	(12*(13+6))-7			
6 10 13 13	2	((10+6)*13)+13	((10+13)-6)*13		
6 11 12 13	2	((11+12)-6)*13	(11*(13+6))+12		
6 11 13 13	1	(11*13)+(13*6)			
6 12 13 13	1	((12+6)*13)-13			
7 7 12 12	1	(12*(12+7))-7			
7 8 11 12	1	((11+8)*12)-7			
7 9 10 12	1	((10+9)*12)-7			
7 9 13 13	1	13+(13*(7+9))			
7 10 13 13	1	(10*13)+(13*7)			
7 11 12 12	2	(11*7)+(12*12)	(11*(12+7))+12		
7 11 13 13	2	((11+7)*13)-13	((11+13)-7)*13		
7 12 12 13	1	((12+12)-7)*13			
8 8 13 13	1	13+(13*(8+8))			
8 9 13 13	1	(13*8)+(13*9)			
8 10 11 13	2	(10*(13+8))+11	(11*(13+8))-10		
8 10 13 13	1	((10+8)*13)-13			
8 11 11 12	1	(11*(11+8))+12			
8 12 13 13	1	((12+13)-8)*13			
8 13 13 13	1	13+((13+13)*8)			
9 9 13 13	1	(13*(9+9))-13			
9 10 10 13	1	(10*(10+13))-9			
9 10 11 12	4	((10+9)*11)+12	(10*(11+12))-9	(10*(12+9))+11	(11*(12+9))-10
9 13 13 13	2	13*((13+13)-9)	((13+13)*9)-13		
10 10 11 11	3	((10+11)*11)-10	(10*(10+11))+11	(10*10)+(11*11)	
